Clicks,Impressions,TotalImpressions,Timestamp,BatchCTR,ModelCTR,MSE,MMSE,FullMSE,FullROC,FullTPR,FullFPR,FullFNR,FullPPR,ModelCalibration,ModelNE,ModelRIG,Method,Hours,Alpha,EqClicks,TargetPercent,TargetSplit,TargetAlpha
2,7064,400000,1534215666000,0.000283,0.000283,0.00176,1.16,0.00107,nan,0.0408,0.0,0.959,1.0,0.0408,2.44,-1.44,TS_Lin_Multi_Target,6,0.1,0.0,1,NO_SPLIT,1
22,24030,500000,1534221203000,0.000916,0.000916,0.00189,1.15,0.00118,nan,0.115,0.0,0.885,1.0,0.115,1.98,-0.978,TS_Lin_Multi_Target,6,0.1,0.0,1,NO_SPLIT,1
33,40519,600000,1534223933000,0.000814,0.000814,0.00165,1.14,0.000971,nan,0.122,0.0,0.878,1.0,0.122,2.28,-1.28,TS_Lin_Multi_Target,6,0.1,0.0,1,NO_SPLIT,1
49,57161,700000,1534225990000,0.000857,0.000857,0.00158,1.13,0.000907,nan,0.136,0.0,0.864,1.0,0.136,2.37,-1.37,TS_Lin_Multi_Target,6,0.1,0.0,1,NO_SPLIT,1
60,73529,800000,1534227870000,0.000816,0.000816,0.00146,1.13,0.000791,nan,0.146,0.0,0.854,1.0,0.146,2.65,-1.65,TS_Lin_Multi_Target,6,0.1,0.0,1,NO_SPLIT,1
71,90226,900000,1534229635000,0.000787,0.000787,0.0014,1.13,0.000735,nan,0.151,0.0,0.849,1.0,0.151,2.8,-1.8,TS_Lin_Multi_Target,6,0.1,0.0,1,NO_SPLIT,1
83,107649,1000000,1534231460000,0.000706,0.000771,0.00136,1.13,0.000716,nan,0.153,0.0,0.847,1.0,0.153,2.8,-1.8,TS_Lin_Multi_Target,6,0.1,0.0,1,NO_SPLIT,1
98,124934,1100000,1534233317000,0.000795,0.000784,0.0013,1.12,0.000672,nan,0.164,0.0,0.836,1.0,0.164,2.88,-1.88,TS_Lin_Multi_Target,6,0.1,0.0,1,NO_SPLIT,1
119,142390,1200000,1534235388000,0.000941,0.000836,0.00127,1.12,0.000647,nan,0.179,0.0,0.821,1.0,0.179,2.89,-1.89,TS_Lin_Multi_Target,6,0.1,0.0,1,NO_SPLIT,1
139,159939,1300000,1534237355000,0.000993,0.000869,0.00128,1.12,0.000654,nan,0.184,0.0,0.816,1.0,0.184,2.84,-1.84,TS_Lin_Multi_Target,6,0.1,0.0,1,NO_SPLIT,1
151,179610,1400000,1534238888000,0.000906,0.000841,0.00124,1.11,0.000628,nan,0.187,0.0,0.813,1.0,0.187,2.89,-1.89,TS_Lin_Multi_Target,6,0.1,0.0,1,NO_SPLIT,1
169,199459,1500000,1534240422000,0.000906,0.000847,0.00121,1.11,0.00061,nan,0.195,0.0,0.805,1.0,0.195,2.91,-1.91,TS_Lin_Multi_Target,6,0.1,0.0,1,NO_SPLIT,1
172,219512,1600000,1534241857000,0.000786,0.000784,0.00118,1.1,0.000601,nan,0.187,0.0,0.813,1.0,0.187,2.93,-1.93,TS_Lin_Multi_Target,6,0.1,0.0,1,NO_SPLIT,1
188,239739,1700000,1534243199000,0.000786,0.000784,0.00116,1.1,0.00059,nan,0.192,0.0,0.808,1.0,0.192,2.93,-1.93,TS_Lin_Multi_Target,6,0.1,0.0,1,NO_SPLIT,1
198,259503,1800000,1534244712000,0.000753,0.000763,0.00114,1.1,0.000576,nan,0.192,0.0,0.808,1.0,0.192,2.96,-1.96,TS_Lin_Multi_Target,6,0.1,0.0,1,NO_SPLIT,1
210,279090,1900000,1534246424000,0.000738,0.000752,0.00112,1.1,0.00057,nan,0.193,0.0,0.807,1.0,0.193,2.97,-1.97,TS_Lin_Multi_Target,6,0.1,0.0,1,NO_SPLIT,1
242,297117,2000000,1534248381000,0.00083,0.000814,0.00114,1.1,0.000574,nan,0.204,0.0,0.796,1.0,0.204,2.92,-1.92,TS_Lin_Multi_Target,6,0.1,0.0,1,NO_SPLIT,1
262,314692,2100000,1534250381000,0.000854,0.000833,0.00115,1.1,0.000585,nan,0.204,0.0,0.796,1.0,0.204,2.86,-1.86,TS_Lin_Multi_Target,6,0.1,0.0,1,NO_SPLIT,1
281,332005,2200000,1534252487000,0.00102,0.000846,0.00116,1.1,0.000601,nan,0.202,0.0,0.798,1.0,0.202,2.79,-1.79,TS_Lin_Multi_Target,6,0.1,0.0,1,NO_SPLIT,1
295,349266,2300000,1534254861000,0.000869,0.000845,0.00116,1.09,0.000616,nan,0.198,0.0,0.802,1.0,0.198,2.71,-1.71,TS_Lin_Multi_Target,6,0.1,0.0,1,NO_SPLIT,1
305,367212,2400000,1534257558000,0.000736,0.000831,0.00116,1.09,0.000627,nan,0.192,0.0,0.808,1.0,0.192,2.65,-1.65,TS_Lin_Multi_Target,6,0.1,0.0,1,NO_SPLIT,1
314,384380,2500000,1534260327000,0.000675,0.000817,0.00116,1.09,0.000633,nan,0.188,0.0,0.812,1.0,0.188,2.62,-1.62,TS_Lin_Multi_Target,6,0.1,0.0,1,NO_SPLIT,1
326,401807,2600000,1534263432000,0.000678,0.000811,0.00115,1.09,0.000634,nan,0.186,0.0,0.814,1.0,0.186,2.6,-1.6,TS_Lin_Multi_Target,6,0.1,0.0,1,NO_SPLIT,1
352,418926,2700000,1534266431000,0.000831,0.00084,0.00117,1.09,0.000645,nan,0.189,0.0,0.811,1.0,0.189,2.54,-1.54,TS_Lin_Multi_Target,6,0.1,0.0,1,NO_SPLIT,1
366,435842,2800000,1534269300000,0.000831,0.00084,0.00118,1.08,0.000664,nan,0.184,0.0,0.816,1.0,0.184,2.48,-1.48,TS_Lin_Multi_Target,6,0.1,0.0,1,NO_SPLIT,1
382,453300,2900000,1534272798000,0.000842,0.000843,0.00118,1.08,0.000665,nan,0.184,0.0,0.816,1.0,0.184,2.46,-1.46,TS_Lin_Multi_Target,6,0.1,0.0,1,NO_SPLIT,1
397,470670,3000000,1534275826000,0.000984,0.000843,0.00117,1.08,0.000663,nan,0.185,0.0,0.815,1.0,0.185,2.45,-1.45,TS_Lin_Multi_Target,6,0.1,0.0,1,NO_SPLIT,1
417,487895,3100000,1534279185000,0.00108,0.000855,0.00118,1.08,0.000679,nan,0.183,0.0,0.817,1.0,0.183,2.39,-1.39,TS_Lin_Multi_Target,6,0.1,0.0,1,NO_SPLIT,1
456,507553,3400000,1534307392000,0.0029,0.000898,0.00124,1.08,0.000759,nan,0.165,0.0,0.835,1.0,0.165,2.09,-1.09,TS_Lin_Multi_Target,6,0.1,0.0,1,NO_SPLIT,1
488,526703,3500000,1534310553000,0.002,0.000927,0.00124,1.08,0.000763,nan,0.169,0.0,0.831,1.0,0.169,2.07,-1.07,TS_Lin_Multi_Target,6,0.1,0.0,1,NO_SPLIT,1
504,545364,3600000,1534313223000,0.00152,0.000924,0.00124,1.08,0.000761,nan,0.169,0.0,0.831,1.0,0.169,2.07,-1.07,TS_Lin_Multi_Target,6,0.1,0.0,1,NO_SPLIT,1
521,564110,3700000,1534315472000,0.00134,0.000924,0.00123,1.07,0.00076,nan,0.17,0.0,0.83,1.0,0.17,2.07,-1.07,TS_Lin_Multi_Target,6,0.1,0.0,1,NO_SPLIT,1
534,582828,3800000,1534317461000,0.00119,0.000916,0.00122,1.07,0.000752,nan,0.171,0.0,0.829,1.0,0.171,2.08,-1.08,TS_Lin_Multi_Target,6,0.1,0.0,1,NO_SPLIT,1
549,601589,3900000,1534319605000,0.00112,0.000913,0.00122,1.07,0.000752,nan,0.171,0.0,0.829,1.0,0.171,2.08,-1.08,TS_Lin_Multi_Target,6,0.1,0.0,1,NO_SPLIT,1
565,620688,4000000,1534321811000,0.00107,0.00091,0.00121,1.07,0.000748,nan,0.172,0.0,0.828,1.0,0.172,2.08,-1.08,TS_Lin_Multi_Target,6,0.1,0.0,1,NO_SPLIT,1
590,639426,4100000,1534324066000,0.00111,0.000923,0.00121,1.07,0.000742,nan,0.175,0.0,0.825,1.0,0.175,2.09,-1.09,TS_Lin_Multi_Target,6,0.1,0.0,1,NO_SPLIT,1
606,657556,4200000,1534325982000,0.00108,0.000922,0.00121,1.07,0.000741,nan,0.175,0.0,0.825,1.0,0.175,2.09,-1.09,TS_Lin_Multi_Target,6,0.1,0.0,1,NO_SPLIT,1
632,676357,4300000,1534327753000,0.000921,0.000934,0.00121,1.07,0.000744,nan,0.177,0.0,0.823,1.0,0.177,2.08,-1.08,TS_Lin_Multi_Target,6,0.1,0.0,1,NO_SPLIT,1
654,696456,4400000,1534329253000,0.00105,0.000939,0.00121,1.07,0.000743,nan,0.179,0.0,0.821,1.0,0.179,2.07,-1.07,TS_Lin_Multi_Target,6,0.1,0.0,1,NO_SPLIT,1
676,713772,4500000,1534330607000,0.00114,0.000947,0.0012,1.07,0.000741,nan,0.181,0.0,0.819,1.0,0.181,2.06,-1.06,TS_Lin_Multi_Target,6,0.1,0.0,1,NO_SPLIT,1
