Clicks,Impressions,TotalImpressions,Timestamp,BatchCTR,ModelCTR,MSE,MMSE,FullMSE,FullROC,FullTPR,FullFPR,FullFNR,FullPPR,ModelCalibration,ModelNE,ModelRIG,Method,Hours,Alpha,EqClicks,TrainPart,RecommendationPart
24,12357,400000,1534215666000,0.00194,0.00194,0.00113,0.998,0.000568,nan,0.49,0.0,0.51,1.0,0.49,0.822,0.178,LinUCB_Disjoint_Multi_Mix,6,0.001,0.0,0.2,0.2
84,33944,500000,1534221203000,0.00247,0.00247,0.00134,0.997,0.00075,nan,0.438,0.0,0.562,1.0,0.438,0.691,0.309,LinUCB_Disjoint_Multi_Mix,6,0.001,0.0,0.2,0.2
117,53234,600000,1534223933000,0.0022,0.0022,0.00112,0.996,0.000627,nan,0.433,0.0,0.567,1.0,0.433,0.737,0.263,LinUCB_Disjoint_Multi_Mix,6,0.001,0.0,0.2,0.2
144,71152,700000,1534225990000,0.00202,0.00202,0.00106,0.996,0.000631,nan,0.399,0.0,0.601,1.0,0.399,0.726,0.274,LinUCB_Disjoint_Multi_Mix,6,0.001,0.0,0.2,0.2
165,90174,800000,1534227870000,0.00183,0.00183,0.000939,0.996,0.000554,nan,0.401,0.0,0.599,1.0,0.401,0.776,0.224,LinUCB_Disjoint_Multi_Mix,6,0.001,0.0,0.2,0.2
194,107563,900000,1534229635000,0.0018,0.0018,0.000879,0.996,0.000509,nan,0.412,0.0,0.588,1.0,0.412,0.806,0.194,LinUCB_Disjoint_Multi_Mix,6,0.001,0.0,0.2,0.2
217,122792,1000000,1534231460000,0.00108,0.00177,0.000857,0.996,0.000508,nan,0.399,0.0,0.601,1.0,0.399,0.79,0.21,LinUCB_Disjoint_Multi_Mix,6,0.001,0.0,0.2,0.2
236,138269,1100000,1534233317000,0.00117,0.00171,0.000816,0.996,0.000487,nan,0.395,0.0,0.605,1.0,0.395,0.793,0.207,LinUCB_Disjoint_Multi_Mix,6,0.001,0.0,0.2,0.2
260,154461,1200000,1534235388000,0.00128,0.00168,0.0008,0.996,0.00048,nan,0.391,0.0,0.609,1.0,0.391,0.787,0.213,LinUCB_Disjoint_Multi_Mix,6,0.001,0.0,0.2,0.2
307,171977,1300000,1534237355000,0.00168,0.00179,0.000812,0.995,0.000476,nan,0.406,0.0,0.594,1.0,0.406,0.78,0.22,LinUCB_Disjoint_Multi_Mix,6,0.001,0.0,0.2,0.2
324,186661,1400000,1534238888000,0.00158,0.00174,0.000783,0.995,0.000463,nan,0.401,0.0,0.599,1.0,0.401,0.783,0.217,LinUCB_Disjoint_Multi_Mix,6,0.001,0.0,0.2,0.2
344,201215,1500000,1534240422000,0.00155,0.00171,0.000768,0.995,0.000457,nan,0.397,0.0,0.603,1.0,0.397,0.781,0.219,LinUCB_Disjoint_Multi_Mix,6,0.001,0.0,0.2,0.2
356,213859,1600000,1534241857000,0.00147,0.00166,0.000749,0.995,0.000453,nan,0.387,0.0,0.613,1.0,0.387,0.778,0.222,LinUCB_Disjoint_Multi_Mix,6,0.001,0.0,0.2,0.2
384,226542,1700000,1534243199000,0.00156,0.0017,0.000739,0.995,0.000444,nan,0.391,0.0,0.609,1.0,0.391,0.78,0.22,LinUCB_Disjoint_Multi_Mix,6,0.001,0.0,0.2,0.2
