Clicks,Impressions,TotalImpressions,Method,Timestamp,BatchCTR,ModelCTR,MSE,MMSE,FullMSE,FullROC,FullTPR,FullFPR,FullFNR,FullPPR,ModelCalibration,ModelNE,ModelRIG,Hours,TrainPart,RecommendationPart,Alpha,EqClicks
4,382,110000,TS_Lin,1531044493000,0.0105,0.0105,0.0044,2.63,0.00307,inf,0.308,0.0,0.692,1.0,0.308,0.328,0.672,12,0.2,0.2,0.1,0.0
22,1896,120000,TS_Lin,1531046231000,0.0116,0.0116,0.0043,2.72,0.00263,inf,0.393,0.0,0.607,1.0,0.393,0.396,0.604,12,0.2,0.2,0.1,0.0
34,3323,130000,TS_Lin,1531048017000,0.0102,0.0102,0.00385,2.71,0.0024,inf,0.382,0.0,0.618,1.0,0.382,0.394,0.606,12,0.2,0.2,0.1,0.0
50,4784,140000,TS_Lin,1531049805000,0.0105,0.0105,0.00401,2.72,0.00252,inf,0.376,0.0,0.624,1.0,0.376,0.382,0.618,12,0.2,0.2,0.1,0.0
64,6185,150000,TS_Lin,1531051599000,0.0103,0.0103,0.00407,2.71,0.00261,inf,0.364,0.0,0.636,1.0,0.364,0.37,0.63,12,0.2,0.2,0.1,0.0
75,7526,160000,TS_Lin,1531053310000,0.00997,0.00997,0.004,2.7,0.00261,inf,0.352,0.0,0.648,1.0,0.352,0.362,0.638,12,0.2,0.2,0.1,0.0
83,8855,170000,TS_Lin,1531054948000,0.00937,0.00937,0.00392,2.69,0.00262,inf,0.335,0.0,0.665,1.0,0.335,0.351,0.649,12,0.2,0.2,0.1,0.0
95,10325,180000,TS_Lin,1531056675000,0.0092,0.0092,0.00387,2.7,0.00259,inf,0.335,0.0,0.665,1.0,0.335,0.35,0.65,12,0.2,0.2,0.1,0.0
106,11753,190000,TS_Lin,1531058328000,0.00902,0.00902,0.00381,2.71,0.00256,inf,0.333,0.0,0.667,1.0,0.333,0.35,0.65,12,0.2,0.2,0.1,0.0
116,13159,200000,TS_Lin,1531059941000,0.00882,0.00882,0.00384,2.71,0.00261,inf,0.323,0.0,0.677,1.0,0.323,0.343,0.657,12,0.2,0.2,0.1,0.0
127,14681,210000,TS_Lin,1531061809000,0.00865,0.00865,0.00379,2.72,0.00258,inf,0.323,0.0,0.677,1.0,0.323,0.345,0.655,12,0.2,0.2,0.1,0.0
142,16204,220000,TS_Lin,1531063581000,0.00876,0.00876,0.00386,2.74,0.00263,inf,0.323,0.0,0.677,1.0,0.323,0.345,0.655,12,0.2,0.2,0.1,0.0
158,17628,230000,TS_Lin,1531065314000,0.00896,0.00896,0.00387,2.73,0.00261,inf,0.33,0.0,0.67,1.0,0.33,0.349,0.651,12,0.2,0.2,0.1,0.0
172,19080,240000,TS_Lin,1531067084000,0.00901,0.00901,0.00389,2.74,0.00262,inf,0.331,0.0,0.669,1.0,0.331,0.351,0.649,12,0.2,0.2,0.1,0.0
200,20819,250000,TS_Lin,1531068933000,0.00961,0.00961,0.00405,2.77,0.00268,inf,0.343,0.0,0.657,1.0,0.343,0.358,0.642,12,0.2,0.2,0.1,0.0
222,22410,260000,TS_Lin,1531070560000,0.00991,0.00991,0.00413,2.78,0.00271,inf,0.349,0.0,0.651,1.0,0.349,0.361,0.639,12,0.2,0.2,0.1,0.0
244,23885,270000,TS_Lin,1531071931000,0.0102,0.0102,0.00417,2.78,0.0027,inf,0.357,0.0,0.643,1.0,0.357,0.368,0.632,12,0.2,0.2,0.1,0.0
267,25411,280000,TS_Lin,1531073370000,0.0105,0.0105,0.00426,2.79,0.00275,inf,0.36,0.0,0.64,1.0,0.36,0.369,0.631,12,0.2,0.2,0.1,0.0
282,26788,290000,TS_Lin,1531074828000,0.0105,0.0105,0.00424,2.79,0.00273,inf,0.361,0.0,0.639,1.0,0.361,0.37,0.63,12,0.2,0.2,0.1,0.0
303,28310,300000,TS_Lin,1531076102000,0.0107,0.0107,0.00428,2.79,0.00274,inf,0.364,0.0,0.636,1.0,0.364,0.372,0.628,12,0.2,0.2,0.1,0.0
321,29866,310000,TS_Lin,1531077460000,0.0107,0.0107,0.00429,2.8,0.00273,inf,0.366,0.0,0.634,1.0,0.366,0.372,0.628,12,0.2,0.2,0.1,0.0
342,31421,320000,TS_Lin,1531078853000,0.0109,0.0109,0.00434,2.81,0.00277,inf,0.367,0.0,0.633,1.0,0.367,0.373,0.627,12,0.2,0.2,0.1,0.0
359,32889,330000,TS_Lin,1531080285000,0.0109,0.0109,0.00435,2.81,0.00277,inf,0.367,0.0,0.633,1.0,0.367,0.373,0.627,12,0.2,0.2,0.1,0.0
375,34357,340000,TS_Lin,1531081775000,0.0109,0.0109,0.00435,2.82,0.00277,inf,0.368,0.0,0.632,1.0,0.368,0.373,0.627,12,0.2,0.2,0.1,0.0
397,35869,350000,TS_Lin,1531083470000,0.0111,0.0111,0.00432,2.82,0.00272,inf,0.375,0.0,0.625,1.0,0.375,0.379,0.621,12,0.2,0.2,0.1,0.0
421,37474,360000,TS_Lin,1531085548000,0.0112,0.0112,0.00442,2.83,0.00279,inf,0.374,0.0,0.626,1.0,0.374,0.377,0.623,12,0.2,0.2,0.1,0.0
442,38978,370000,TS_Lin,1531091700000,0.00503,0.0113,0.00447,2.85,0.00283,inf,0.373,0.0,0.627,1.0,0.373,0.377,0.623,12,0.2,0.2,0.1,0.0
456,40681,380000,TS_Lin,1531109678000,0.00739,0.0112,0.00444,2.92,0.00281,inf,0.373,0.0,0.627,1.0,0.373,0.378,0.622,12,0.2,0.2,0.1,0.0
466,42032,390000,TS_Lin,1531114011000,0.0074,0.0111,0.00437,2.95,0.00275,inf,0.375,0.0,0.625,1.0,0.375,0.379,0.621,12,0.2,0.2,0.1,0.0
475,43215,400000,TS_Lin,1531116623000,0.00745,0.011,0.0043,2.97,0.00271,inf,0.374,0.0,0.626,1.0,0.374,0.379,0.621,12,0.2,0.2,0.1,0.0
484,44315,410000,TS_Lin,1531118649000,0.00758,0.0109,0.00424,2.98,0.00268,inf,0.374,0.0,0.626,1.0,0.374,0.378,0.622,12,0.2,0.2,0.1,0.0
494,45446,420000,TS_Lin,1531120418000,0.00779,0.0109,0.00419,2.98,0.00264,inf,0.374,0.0,0.626,1.0,0.374,0.378,0.622,12,0.2,0.2,0.1,0.0
498,46478,430000,TS_Lin,1531122132000,0.00729,0.0107,0.00414,2.99,0.00262,inf,0.37,0.0,0.63,1.0,0.37,0.376,0.624,12,0.2,0.2,0.1,0.0
504,47472,440000,TS_Lin,1531123856000,0.00715,0.0106,0.00407,2.98,0.00259,inf,0.369,0.0,0.631,1.0,0.369,0.375,0.625,12,0.2,0.2,0.1,0.0
507,48288,450000,TS_Lin,1531125068000,0.00686,0.0105,0.00399,2.97,0.00254,inf,0.368,0.0,0.632,1.0,0.368,0.375,0.625,12,0.2,0.2,0.1,0.0
510,49086,460000,TS_Lin,1531126436000,0.00663,0.0104,0.00392,2.96,0.0025,inf,0.366,0.0,0.634,1.0,0.366,0.374,0.626,12,0.2,0.2,0.1,0.0
512,50107,470000,TS_Lin,1531128328000,0.00623,0.0102,0.00385,2.96,0.00247,inf,0.364,0.0,0.636,1.0,0.364,0.373,0.627,12,0.2,0.2,0.1,0.0
516,50797,480000,TS_Lin,1531129175000,0.0062,0.0102,0.00377,2.94,0.00241,inf,0.364,0.0,0.636,1.0,0.364,0.375,0.625,12,0.2,0.2,0.1,0.0
520,51498,490000,TS_Lin,1531130018000,0.00618,0.0101,0.00371,2.93,0.00237,inf,0.364,0.0,0.636,1.0,0.364,0.374,0.626,12,0.2,0.2,0.1,0.0
522,52162,500000,TS_Lin,1531130800000,0.00311,0.01,0.00364,2.91,0.00233,inf,0.363,0.0,0.637,1.0,0.363,0.374,0.626,12,0.2,0.2,0.1,0.0
