Clicks,Impressions,TotalImpressions,Method,Timestamp,BatchCTR,ModelCTR,MSE,MMSE,FullMSE,FullROC,FullTPR,FullFPR,FullFNR,FullPPR,ModelCalibration,ModelNE,ModelRIG,Hours,TrainPart,RecommendationPart,Alpha,EqClicks
0,1,110000,Regression,1531044493000,0.00228,0.00298,1.84e+25,1.65e+30,0.00409,inf,0.0769,0.0,0.923,1.0,0.0769,-0.0,1.0,12,0.2,0.2,0.1,0.0
0,1,120000,Regression,1531046231000,0.00658,0.00298,1.84e+25,1.66e+30,0.00332,inf,0.232,0.0,0.768,1.0,0.232,-0.0,1.0,12,0.2,0.2,0.1,0.0
0,1,130000,Regression,1531048017000,0.00582,0.00298,1.84e+25,1.65e+30,0.00301,inf,0.225,0.0,0.775,1.0,0.225,-0.0,1.0,12,0.2,0.2,0.1,0.0
0,1,140000,Regression,1531049805000,0.00676,0.00298,1.84e+25,1.65e+30,0.00301,inf,0.256,0.0,0.744,1.0,0.256,-0.0,1.0,12,0.2,0.2,0.1,0.0
0,1,150000,Regression,1531051599000,0.00612,0.00298,1.84e+25,1.65e+30,0.00317,inf,0.227,0.0,0.773,1.0,0.227,-0.0,1.0,12,0.2,0.2,0.1,0.0
0,1,160000,Regression,1531053310000,0.00624,0.00298,1.84e+25,1.65e+30,0.00308,inf,0.235,0.0,0.765,1.0,0.235,-0.0,1.0,12,0.2,0.2,0.1,0.0
0,1,170000,Regression,1531054948000,0.0057,0.00298,1.84e+25,1.65e+30,0.00308,inf,0.218,0.0,0.782,1.0,0.218,-0.0,1.0,12,0.2,0.2,0.1,0.0
0,1,180000,Regression,1531056675000,0.0059,0.00298,1.84e+25,1.65e+30,0.003,inf,0.229,0.0,0.771,1.0,0.229,-0.0,1.0,12,0.2,0.2,0.1,0.0
0,1,190000,Regression,1531058328000,0.00543,0.00298,1.84e+25,1.65e+30,0.00301,inf,0.214,0.0,0.786,1.0,0.214,-0.0,1.0,12,0.2,0.2,0.1,0.0
0,1,200000,Regression,1531059941000,0.00524,0.00298,1.84e+25,1.65e+30,0.00308,inf,0.203,0.0,0.797,1.0,0.203,-0.0,1.0,12,0.2,0.2,0.1,0.0
0,1,210000,Regression,1531061809000,0.00513,0.00298,1.84e+25,1.65e+30,0.00305,inf,0.201,0.0,0.799,1.0,0.201,-0.0,1.0,12,0.2,0.2,0.1,0.0
0,1,220000,Regression,1531063581000,0.00496,0.00298,1.84e+25,1.65e+30,0.00314,inf,0.191,0.0,0.809,1.0,0.191,-0.0,1.0,12,0.2,0.2,0.1,0.0
0,1,230000,Regression,1531065314000,0.00515,0.00298,1.84e+25,1.65e+30,0.00312,inf,0.198,0.0,0.802,1.0,0.198,-0.0,1.0,12,0.2,0.2,0.1,0.0
0,1,240000,Regression,1531067084000,0.00547,0.00298,1.84e+25,1.65e+30,0.00309,inf,0.21,0.0,0.79,1.0,0.21,-0.0,1.0,12,0.2,0.2,0.1,0.0
0,1,250000,Regression,1531068933000,0.00574,0.00298,1.84e+25,1.65e+30,0.00321,inf,0.213,0.0,0.787,1.0,0.213,-0.0,1.0,12,0.2,0.2,0.1,0.0
0,1,260000,Regression,1531070560000,0.00573,0.00298,1.84e+25,1.65e+30,0.00329,inf,0.209,0.0,0.791,1.0,0.209,-0.0,1.0,12,0.2,0.2,0.1,0.0
0,1,270000,Regression,1531071931000,0.00575,0.00298,1.84e+25,1.65e+30,0.00333,inf,0.208,0.0,0.792,1.0,0.208,-0.0,1.0,12,0.2,0.2,0.1,0.0
