Clicks,Impressions,TotalImpressions,Method,RecommendationSizePercent,RecommendationSize,Timestamp,Alpha
0.0,59.0,460000.0,LinUCB_Disjoint,0.02,58336,1529485209.0,0.001
1.0,447.0,470000.0,LinUCB_Disjoint,0.02,58336,1529485282.0,0.001
3.0,822.0,480000.0,LinUCB_Disjoint,0.02,58336,1529485354.0,0.001
3.0,1168.0,490000.0,LinUCB_Disjoint,0.02,58336,1529485426.0,0.001
3.0,1496.0,500000.0,LinUCB_Disjoint,0.02,58336,1529485500.0,0.001
4.0,1848.0,510000.0,LinUCB_Disjoint,0.02,58336,1529485578.0,0.001
5.0,2191.0,520000.0,LinUCB_Disjoint,0.02,58336,1529485659.0,0.001
5.0,2531.0,530000.0,LinUCB_Disjoint,0.02,58336,1529485742.0,0.001
7.0,2894.0,540000.0,LinUCB_Disjoint,0.02,58336,1529485823.0,0.001
7.0,3256.0,550000.0,LinUCB_Disjoint,0.02,58336,1529485906.0,0.001
8.0,3592.0,560000.0,LinUCB_Disjoint,0.02,58336,1529485990.0,0.001
8.0,3943.0,570000.0,LinUCB_Disjoint,0.02,58336,1529486075.0,0.001
8.0,4300.0,580000.0,LinUCB_Disjoint,0.02,58336,1529486160.0,0.001
8.0,4604.0,590000.0,LinUCB_Disjoint,0.02,58336,1529486245.0,0.001
9.0,4953.0,600000.0,LinUCB_Disjoint,0.02,58336,1529486326.0,0.001
9.0,5291.0,610000.0,LinUCB_Disjoint,0.02,58336,1529486407.0,0.001
9.0,5627.0,620000.0,LinUCB_Disjoint,0.02,58336,1529486488.0,0.001
10.0,5973.0,630000.0,LinUCB_Disjoint,0.02,58336,1529486569.0,0.001
10.0,6298.0,640000.0,LinUCB_Disjoint,0.02,58336,1529486652.0,0.001
11.0,6595.0,650000.0,LinUCB_Disjoint,0.02,58336,1529486734.0,0.001
13.0,6935.0,660000.0,LinUCB_Disjoint,0.02,58336,1529486817.0,0.001
13.0,7266.0,670000.0,LinUCB_Disjoint,0.02,58336,1529486899.0,0.001
13.0,7616.0,680000.0,LinUCB_Disjoint,0.02,58336,1529486983.0,0.001
15.0,8003.0,690000.0,LinUCB_Disjoint,0.02,58336,1529487066.0,0.001
16.0,8300.0,700000.0,LinUCB_Disjoint,0.02,58336,1529487149.0,0.001
17.0,8604.0,710000.0,LinUCB_Disjoint,0.02,58336,1529487230.0,0.001
